Transaction date,Claim vendor,Bank vendor,Bank details,Transaction type,Amount GBP,Receipt attached,Receipt files,App status,Receipt required in app,Expense category,Source type,Card member,External reference,Notes,Transaction ID
2024-01-11,OpenAI,OpenAI,Card Purchase CHATGPT SUBSCRIPTION 50108328335,Card Transaction,18.94,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,afda9085-e710-46b0-8b87-363cb68ce139
2024-02-13,OpenAI,OpenAI,Card Purchase CHATGPT SUBSCRIPTION 50108328335,Card Transaction,19.09,no,,no_receipt_required,yes,Entertainment,bank,,,,5f7c7b05-4837-4649-aba4-0dfbcdb2bcbc
2024-03-12,OpenAI,OpenAI,Card Purchase CHATGPT SUBSCRIPTION 50108328335,Card Transaction,18.78,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,d3091dc6-3bb2-45e1-aba7-6ce897498fb7
2024-04-11,OpenAI,OpenAI,Card Purchase CHATGPT SUBSCRIPTION 50108328335,Card Transaction,19.03,no,,no_receipt_required,yes,Entertainment,bank,,,,d82fdfbc-3aba-45e4-af37-f6991e7c16b6
2024-05-13,OpenAI,OpenAI,Card Purchase CHATGPT SUBSCRIPTION 50108328335,Card Transaction,19.26,no,,no_receipt_required,yes,Entertainment,bank,,,,c589ac74-0146-4dfe-ba0c-37f0270defe7
2024-06-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.88,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,8f82b65c-b82d-4a25-8d28-648228dfe4a2
2024-07-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.77,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,db059490-515e-4b35-a1ea-77272d676346
2024-08-06,ClaudeAI,ClaudeAI,Card Purchase CLAUDE.AI SUBSCRIPTION,Card Transaction,18.00,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,7a3137ae-acdd-4126-9630-bee36263af1a
2024-08-13,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.95,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,43cce57c-5f4e-4c23-8a4b-d06c0287557e
2024-09-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.29,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,270d0f1f-34a5-4ae8-864b-cfcb4497363d
2024-10-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.38,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,1dfe9304-40b1-4736-9c46-f489119559f0
2024-11-12,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.61,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,8e8accd4-9c9c-469d-a674-c03583c79930
2024-12-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,18.86,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,c426bc98-e29f-418c-a2a0-e456286f7be0
2025-01-13,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,19.48,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,a47807d5-edd3-479b-aab0-dfc00ee54124
2025-02-11,OpenAI,OpenAI,Card Purchase OPENAI CHATGPT SUBSCR 50108328335,Card Transaction,19.38,no,,no_receipt_required,yes,Marketing/Promotion/Advertising,bank,,,,228294cd-d897-45e6-83a5-dcbde0cf5e71
