"path","line","component","layer","visibility","same_name_count","initial_status"
"src/app/(authenticated)/AuthenticatedLayout.tsx","15","AuthenticatedLayoutContent","route-local","internal","1","local"
"src/app/(authenticated)/AuthenticatedLayout.tsx","186","AuthenticatedLayout","route-local","exported","1","local"
"src/app/(authenticated)/cashing-up/daily/_components/DailyClient.tsx","137","DailyClient","route-local","exported","1","local"
"src/app/(authenticated)/cashing-up/daily/page.tsx","10","DailyCashupPage","route-entry","exported","1","route"
"src/app/(authenticated)/cashing-up/dashboard/_components/DashboardClient.tsx","93","DashboardClient","route-local","exported","2","local"
"src/app/(authenticated)/cashing-up/dashboard/page.tsx","10","CashupDashboardPage","route-entry","exported","1","route"
"src/app/(authenticated)/cashing-up/import/_components/ImportClient.tsx","36","ImportClient","route-local","exported","1","local"
"src/app/(authenticated)/cashing-up/import/page.tsx","3","ImportPage","route-entry","exported","1","route"
"src/app/(authenticated)/cashing-up/insights/_components/InsightsClient.tsx","66","SalesMixTooltip","route-local","internal","1","local"
"src/app/(authenticated)/cashing-up/insights/_components/InsightsClient.tsx","108","SalesMixTrendChart","route-local","internal","1","local"
"src/app/(authenticated)/cashing-up/insights/_components/InsightsClient.tsx","169","InsightsClient","route-local","exported","2","local"
"src/app/(authenticated)/cashing-up/insights/page.tsx","13","CashupInsightsPage","route-entry","exported","1","route"
"src/app/(authenticated)/cashing-up/layout.tsx","13","CashingUpLayout","route-entry","exported","1","route"
"src/app/(authenticated)/cashing-up/weekly/_components/WeeklyClient.tsx","46","WeeklyClient","route-local","exported","1","local"
"src/app/(authenticated)/cashing-up/weekly/page.tsx","6","WeeklyCashupPage","route-entry","exported","1","route"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","56","PlusIcon","route-local","internal","2","local"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","59","PencilIcon","route-local","internal","1","local"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","62","TrashIcon","route-local","internal","1","local"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","65","MessageIcon","route-local","internal","1","local"
"src/app/(authenticated)/customers/_components/CustomersClient.tsx","87","CustomersClient","route-local","exported","1","local"
"src/app/(authenticated)/customers/[id]/page.tsx","247","CustomerViewPage","route-entry","exported","1","route"
"src/app/(authenticated)/customers/insights/page.tsx","77","CustomersInsightsPage","route-entry","exported","1","route"
"src/app/(authenticated)/customers/loading.tsx","3","Loading","route-entry","exported","10","route"
"src/app/(authenticated)/customers/page.tsx","17","CustomersPage","route-entry","exported","1","route"
"src/app/(authenticated)/dashboard/_components/DashboardClient.tsx","97","DashboardClient","route-local","exported","2","local"
"src/app/(authenticated)/dashboard/loading.tsx","3","Loading","route-entry","exported","10","route"
"src/app/(authenticated)/dashboard/page.tsx","61","DashboardPage","route-entry","exported","1","route"
"src/app/(authenticated)/dashboard/UpcomingScheduleCalendar.tsx","18","UpcomingScheduleCalendar","route-local","exported","1","local"
"src/app/(authenticated)/employees/_components/EmployeesClient.tsx","62","PortalInviteButton","route-local","internal","1","local"
"src/app/(authenticated)/employees/_components/EmployeesClient.tsx","84","EmployeesClient","route-local","exported","1","local"
"src/app/(authenticated)/employees/[employee_id]/_components/EmployeeDetailTabs.tsx","21","EmployeeDetailTabs","route-local","exported","1","local"
"src/app/(authenticated)/employees/[employee_id]/_components/EmployeeHeaderActions.tsx","17","EmployeeHeaderActions","route-local","exported","1","local"
"src/app/(authenticated)/employees/[employee_id]/_components/QuickAddNoteSheet.tsx","20","QuickAddNoteSheet","route-local","exported","1","local"
"src/app/(authenticated)/employees/[employee_id]/edit/EmployeeEditClient.tsx","24","EmployeeEditClient","route-local","exported","1","local"
"src/app/(authenticated)/employees/[employee_id]/edit/page.tsx","13","EditEmployeePage","route-entry","exported","1","route"
